"tensor([0.3056, 1.0000, 0.2662, 0.2801, 0.5295, 0.6437, 0.2505, 0.4758, 0.2037,
        0.6200, 0.7837, 0.8848], device='cuda:0')","tensor([[ 0.4202,  0.0017, -0.3080,  0.1790,  0.3532,  0.7774,  0.3673,  0.3695,
          0.2588,  0.6100,  0.7849,  0.8719]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1917,  1.0000, -0.6300,  0.3721,  0.6115,  0.3751,  0.3814,  0.1979,
         0.5845,  0.5414,  0.7357,  0.8282], device='cuda:0')","tensor([[ 0.2557,  1.0000, -0.1350,  0.2963,  0.6656,  0.3634,  0.5181,  0.1452,
          0.4765,  0.7199,  0.8369,  0.8921]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4125, 1.0000, 0.0926, 0.3205, 0.6294, 0.4952, 0.8409, 0.1386, 0.4147,
        0.6295, 0.7773, 0.8776], device='cuda:0')","tensor([[0.3575, 0.9999, 0.1457, 0.2487, 0.5008, 0.6594, 0.4500, 0.2910, 0.3810,
         0.7308, 0.8331, 0.9048]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2413,  1.0000, -0.2818,  0.2083,  0.5765,  0.4759,  0.3814,  0.2287,
         0.3277,  0.5435,  0.7468,  0.8429], device='cuda:0')","tensor([[0.3018, 1.0000, 0.0262, 0.4328, 0.5649, 0.5031, 0.4396, 0.2080, 0.5950,
         0.8784, 0.9101, 0.9586]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3034, 0.0014, 0.0043, 0.2279, 0.3808, 0.8561, 0.5078, 0.2524, 0.1922,
        0.6709, 0.8038, 0.9034], device='cuda:0')","tensor([[ 0.2380,  1.0000, -0.2302,  0.3974,  0.7329,  0.3229,  0.6356,  0.1676,
          0.5799,  0.4962,  0.6915,  0.8099]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2720, 1.0000, 0.0742, 0.2639, 0.5570, 0.6273, 0.5110, 0.2098, 0.4411,
        0.5598, 0.7651, 0.8759], device='cuda:0')","tensor([[ 0.3292,  1.0000, -0.0837,  0.2750,  0.6131,  0.5613,  0.4061,  0.2633,
          0.3533,  0.7049,  0.7964,  0.8845]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3179,  1.0000, -0.5349,  0.2396,  0.3773,  0.8205,  0.4467,  0.2584,
         0.3073,  0.5694,  0.7556,  0.8571], device='cuda:0')","tensor([[ 0.4583,  0.9983, -0.1336,  0.1790,  0.3860,  0.6224,  0.5378,  0.2196,
          0.3257,  0.7370,  0.8250,  0.9068]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3341,  1.0000, -0.1831,  0.2730,  0.5507,  0.4727,  0.6278,  0.1743,
         0.3695,  0.7201,  0.8537,  0.8961], device='cuda:0')","tensor([[0.2837, 1.0000, 0.2667, 0.2922, 0.5790, 0.6130, 0.3002, 0.4553, 0.1874,
         0.4569, 0.6642, 0.7763]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2496,  0.8698, -0.1843,  0.2911,  0.5257,  0.5731,  0.4375,  0.1963,
         0.3929,  0.5230,  0.8897,  0.8243], device='cuda:0')","tensor([[ 0.3703,  1.0000, -0.0496,  0.4237,  0.9002,  0.2833,  0.5485,  0.1214,
          0.7268,  0.5941,  0.7485,  0.8484]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
expected_params,output_params
"tensor([0.1581, 1.0000, 0.1555, 0.3634, 0.6068, 0.4358, 0.4328, 0.2207, 0.4480,
        0.4393, 0.6737, 0.8132], device='cuda:0')","tensor([[ 0.2804,  1.0000, -0.2912,  0.3114,  0.7375,  0.5034,  0.4939,  0.2761,
          0.3876,  0.5821,  0.7560,  0.8685]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2099, 1.0000, 0.0456, 0.3103, 0.5878, 0.3718, 0.7252, 0.1537, 0.8436,
        0.9366, 0.9773, 0.8618], device='cuda:0')","tensor([[ 0.3857,  1.0000, -0.1206,  0.5278,  0.8740,  0.2478,  0.5950,  0.0559,
          0.5575,  0.5856,  0.7326,  0.8614]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2902, 0.8812, 0.0763, 0.2388, 0.4689, 0.7033, 0.4399, 0.2071, 0.3138,
        0.4840, 0.6057, 0.7249], device='cuda:0')","tensor([[ 0.2404,  1.0000, -0.2248,  0.3023,  0.5657,  0.7695,  0.5349,  0.2045,
          0.5417,  0.6518,  0.8123,  0.9061]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.5015,  0.0012, -0.3553,  0.2257,  0.3273,  1.0000,  0.4084,  0.2264,
         0.2012,  0.6796,  0.7874,  1.0000], device='cuda:0')","tensor([[ 0.2474,  1.0000, -0.4426,  0.2073,  0.6082,  0.5905,  0.4654,  0.2676,
          0.4483,  0.5801,  0.7293,  0.8563]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
expected_params,output_params
expected_params,output_params
"tensor([0.3860, 1.0000, 0.1018, 0.2036, 0.6490, 0.2193, 0.6818, 0.0834, 0.4018,
        0.6393, 0.8587, 0.8617], device='cuda:0')","tensor([[0.3506, 0.0018, 0.0698, 0.7108, 0.6880, 0.3988, 0.2549, 0.1075, 0.6106,
         1.0324, 0.9749, 0.9572]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1786,  1.0000, -0.0988,  0.2679,  0.5399,  0.7141,  0.4145,  0.2686,
         0.4366,  0.6028,  0.8249,  0.9238], device='cuda:0')","tensor([[0.4409, 0.0013, 0.0793, 0.2912, 0.5029, 0.4934, 0.5362, 0.1093, 0.3962,
         0.7863, 0.8802, 0.9246]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2242,  1.0000, -0.2679,  0.3225,  0.6585,  0.4099,  0.5305,  0.1864,
         0.3176,  0.4963,  0.7176,  0.8211], device='cuda:0')","tensor([[ 0.3152,  1.0000, -0.1146,  0.3418,  0.6968,  0.3475,  0.8108,  0.1214,
          0.5342,  0.8022,  0.8700,  0.9184]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2358,  1.0000, -0.4484,  0.1921,  0.5304,  0.5307,  0.4336,  0.2760,
         0.1563,  0.4406,  0.6613,  0.7929], device='cuda:0')","tensor([[0.3217, 1.0000, 0.0071, 0.2406, 0.5711, 0.4294, 0.3678, 0.3281, 0.3382,
         0.7019, 0.7943, 0.8949]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1982,  1.0000, -0.4463,  0.2690,  0.6747,  0.4572,  0.6700,  0.1519,
         0.3945,  0.4746,  0.7032,  0.8525], device='cuda:0')","tensor([[ 0.2786,  1.0000, -0.0092,  0.2629,  0.5649,  0.4876,  0.4292,  0.3174,
          0.2843,  0.6737,  0.7946,  0.9106]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2901, 0.9998, 0.8033, 0.2548, 0.4542, 0.4706, 0.7909, 0.1245, 0.5337,
        0.6441, 0.7961, 0.8721], device='cuda:0')","tensor([[ 0.3822,  1.0000, -0.2296,  0.4378,  0.6855,  0.5709,  0.7670,  0.1070,
          0.4939,  0.7326,  0.8419,  0.9068]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2709, 1.0000, 0.2423, 0.2568, 0.4988, 0.6638, 0.5487, 0.2235, 0.4374,
        0.5520, 0.7679, 0.9075], device='cuda:0')","tensor([[ 0.4237,  0.9820, -0.0735,  0.2194,  0.4988,  0.4704,  0.5102,  0.2448,
          0.3537,  0.7362,  0.8407,  0.9118]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4119, 0.0014, 0.2108, 0.2083, 0.4368, 0.6547, 0.5392, 0.2385, 0.1563,
        0.5919, 0.7420, 0.8880], device='cuda:0')","tensor([[0.3548, 0.0013, 0.0647, 0.2882, 0.5666, 0.6226, 0.4987, 0.1826, 0.4799,
         0.6691, 0.8015, 0.9030]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3569, 0.0015, 0.4964, 0.1874, 0.4135, 0.7569, 0.2287, 0.5981, 0.2242,
        0.5517, 0.6973, 0.8067], device='cuda:0')","tensor([[0.2558, 1.0000, 0.3102, 0.2659, 0.4971, 0.4430, 0.5528, 0.2404, 0.5324,
         0.6361, 0.7783, 0.8553]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2769, 0.9279, 0.4474, 0.2496, 0.4429, 0.7418, 0.4461, 0.3036, 0.3125,
        0.5532, 0.7365, 0.8936], device='cuda:0')","tensor([[0.3981, 1.0000, 0.0794, 0.5885, 0.8656, 0.2122, 0.6870, 0.0591, 0.4846,
         0.5389, 0.7470, 0.8517]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2662, 1.0000, 0.0581, 0.2528, 0.5403, 0.6106, 0.5368, 0.2067, 0.4486,
        0.6274, 0.8537, 0.9215], device='cuda:0')","tensor([[0.4130, 0.0043, 0.4797, 0.4419, 0.7230, 0.2682, 0.2919, 0.0716, 0.7487,
         0.5843, 0.7771, 0.8777]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2267, 1.0000, 0.1362, 0.2993, 0.5636, 0.5641, 0.5095, 0.2421, 0.1201,
        0.5615, 0.7311, 0.8578], device='cuda:0')","tensor([[0.2941, 1.0000, 0.0459, 0.2983, 0.6884, 0.3678, 0.5772, 0.1922, 0.3715,
         0.8212, 0.8702, 0.9187]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2788, 1.0000, 0.0654, 0.2337, 0.6087, 0.8257, 0.2590, 0.6403, 0.3127,
        0.4958, 0.6897, 0.8712], device='cuda:0')","tensor([[0.2971, 1.0000, 0.3333, 0.4833, 0.6389, 0.4606, 0.4358, 0.1276, 0.6886,
         0.6139, 0.7989, 0.8777]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.4276,  0.0018, -0.1006,  0.2659,  0.4185,  0.6569,  0.4870,  0.2258,
         0.3512,  0.5759,  0.7931,  0.9208], device='cuda:0')","tensor([[0.3739, 0.9991, 0.0339, 0.1931, 0.4692, 0.5903, 0.5546, 0.2241, 0.3554,
         0.7480, 0.8286, 0.9134]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2297, 1.0000, 0.2988, 0.2386, 0.5990, 0.5775, 0.4818, 0.2486, 0.2331,
        0.6057, 0.7537, 0.8470], device='cuda:0')","tensor([[ 0.4463,  0.0015, -0.0104,  0.3731,  0.6219,  0.3939,  0.4734,  0.0939,
          0.3772,  0.8616,  0.8664,  0.9348]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3413, 0.0015, 0.0043, 0.2315, 0.3977, 0.7876, 0.4481, 0.2484, 0.1845,
        0.6767, 0.7828, 0.9077], device='cuda:0')","tensor([[ 0.2906,  1.0000, -0.0368,  0.3852,  0.5853,  0.7054,  0.4673,  0.1166,
          0.5679,  0.8118,  0.8984,  0.9348]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2124, 1.0000, 0.4157, 0.3670, 0.5491, 0.5934, 0.3711, 0.2174, 0.5473,
        0.5576, 0.7417, 0.8621], device='cuda:0')","tensor([[0.3230, 1.0000, 0.5752, 0.5642, 0.8353, 0.2616, 0.7570, 0.0567, 0.5631,
         0.6581, 0.8051, 0.9028]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2655, 1.0000, 0.4635, 0.2255, 0.5324, 0.5920, 0.4437, 0.2371, 0.2617,
        0.5500, 0.7376, 0.8416], device='cuda:0')","tensor([[0.2542, 1.0000, 0.0155, 0.3054, 0.5765, 0.5485, 0.3474, 0.3456, 0.4555,
         0.6566, 0.7979, 0.8914]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4292, 0.0014, 0.1952, 0.1951, 0.4663, 0.6787, 0.5678, 0.2248, 0.1987,
        0.5014, 0.7199, 0.8574], device='cuda:0')","tensor([[ 4.2341,  1.0000, -0.0222,  0.6481,  1.0428,  0.2377,  0.3377,  0.0994,
          0.2354,  1.0669,  0.9766,  0.9861]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2938, 0.9999, 0.4489, 0.3266, 0.5828, 0.5552, 0.4512, 0.2869, 0.2216,
        0.5036, 0.7044, 0.8107], device='cuda:0')","tensor([[ 0.3537,  0.9999, -0.1511,  0.1699,  0.4197,  0.5870,  0.4179,  0.2654,
          0.2977,  0.7799,  0.8619,  0.9419]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2341, 1.0000, 0.1554, 0.1733, 0.4655, 0.4738, 0.3985, 0.2573, 0.1843,
        0.6018, 0.7360, 0.8045], device='cuda:0')","tensor([[0.3748, 0.0014, 0.1328, 0.6279, 0.7134, 0.3559, 0.6248, 0.0641, 0.5142,
         0.5901, 0.8000, 0.9038]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2153,  1.0000, -0.6474,  0.2437,  0.4725,  0.5788,  0.4053,  0.2031,
         0.3288,  0.6122,  0.7404,  0.8708], device='cuda:0')","tensor([[0.3281, 1.0000, 0.0280, 0.2508, 0.5487, 0.5217, 0.3185, 0.4114, 0.3338,
         0.6441, 0.7930, 0.8930]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2078, 1.0000, 0.7423, 0.2113, 0.5462, 0.6890, 0.4990, 0.2385, 0.1369,
        0.5751, 0.7534, 0.8385], device='cuda:0')","tensor([[0.3130, 1.0000, 0.0123, 0.2184, 0.4958, 0.6212, 0.3033, 0.4168, 0.1617,
         0.6898, 0.8231, 0.9053]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2339,  1.0000, -0.6626,  0.3134,  0.5853,  0.6493,  0.5226,  0.2018,
         0.5813,  0.5235,  0.7243,  0.8377], device='cuda:0')","tensor([[ 0.2595,  0.9999, -0.1728,  0.2073,  0.4052,  0.6215,  0.2366,  0.1798,
          0.6755,  0.8504,  0.9523,  0.9628]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4130, 0.0014, 0.0706, 0.2144, 0.4126, 0.7363, 0.5373, 0.2149, 0.2778,
        0.5701, 0.8082, 0.9002], device='cuda:0')","tensor([[ 0.3753,  1.0000, -0.0672,  0.4055,  0.6893,  0.3067,  0.4500,  0.0638,
          0.7647,  0.6780,  0.8213,  0.9071]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2487,  1.0000, -0.2964,  0.3256,  0.4971,  0.6676,  0.2830,  0.3311,
         0.2388,  0.6476,  0.8327,  0.9036], device='cuda:0')","tensor([[0.3225, 1.0000, 0.1882, 0.2295, 0.5487, 0.5737, 0.3848, 0.3244, 0.2578,
         0.7092, 0.8310, 0.9069]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1945,  0.8878, -0.3865,  0.3740,  0.6096,  0.6465,  0.6131,  0.1418,
         0.4133,  0.8844,  0.8921,  0.9136], device='cuda:0')","tensor([[0.3442, 0.9999, 0.1160, 0.2659, 0.6489, 0.3598, 0.4595, 0.2661, 0.3077,
         0.6970, 0.8149, 0.8802]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.5485, 0.0016, 0.2430, 0.2269, 0.3976, 0.9772, 0.4341, 0.2423, 0.3022,
        0.7884, 0.7626, 0.8828], device='cuda:0')","tensor([[0.3627, 1.0000, 0.0651, 0.5875, 0.7691, 0.3181, 0.6189, 0.0808, 0.5696,
         0.6693, 0.8144, 0.8957]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.1965, 1.0000, 0.0955, 0.3139, 0.6437, 0.4440, 0.6190, 0.1980, 0.2370,
        0.5470, 0.6537, 0.8144], device='cuda:0')","tensor([[0.3641, 1.0000, 0.4111, 0.2679, 0.4509, 0.5639, 0.2758, 0.0983, 0.6227,
         0.6885, 0.8349, 0.9116]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2850, 0.9999, 0.2016, 0.3842, 0.6098, 0.5487, 0.5168, 0.1963, 0.2573,
        0.5459, 0.7503, 0.9005], device='cuda:0')","tensor([[ 0.2988,  1.0000, -0.0088,  0.2558,  0.6169,  0.2367,  0.5000,  0.1009,
          0.3244,  0.7815,  0.8233,  0.8871]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2402, 1.0000, 0.1883, 0.2912, 0.5711, 0.5558, 0.4952, 0.2149, 0.2317,
        0.5645, 0.7404, 0.8502], device='cuda:0')","tensor([[0.3673, 0.9999, 0.0544, 0.5834, 0.7941, 0.2903, 0.6721, 0.0730, 0.4877,
         0.6331, 0.8042, 0.9075]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2387, 1.0000, 0.2349, 0.3670, 0.5994, 0.4826, 0.5956, 0.1755, 0.5633,
        0.6348, 0.8050, 0.8821], device='cuda:0')","tensor([[0.3462, 0.0016, 0.0410, 0.6138, 0.7995, 0.3063, 0.5739, 0.0652, 0.8608,
         0.6928, 0.8323, 0.9029]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4288, 0.0016, 0.6153, 0.1648, 0.3482, 0.6793, 0.4568, 0.2638, 0.2704,
        0.5632, 0.7492, 0.8554], device='cuda:0')","tensor([[0.4386, 0.9998, 0.0619, 0.1881, 0.4879, 0.5198, 0.5306, 0.2355, 0.3695,
         0.7955, 0.8750, 0.9365]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3016,  1.0000, -0.1047,  0.2307,  0.6280,  0.5703,  0.3146,  0.3035,
         0.2516,  0.6109,  0.8268,  0.8129], device='cuda:0')","tensor([[0.3732, 1.0000, 0.2848, 0.5339, 0.7953, 0.3129, 0.7408, 0.0667, 0.4172,
         0.5217, 0.7445, 0.8651]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2472,  1.0000, -0.1519,  0.3529,  0.7267,  0.4603,  0.4549,  0.2104,
         0.4259,  0.6861,  0.8076,  0.9077], device='cuda:0')","tensor([[ 0.4029,  0.9999, -0.0997,  0.2184,  0.5699,  0.5610,  0.3469,  0.2758,
          0.2436,  0.6410,  0.8400,  0.9109]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2705,  0.9998, -0.1723,  0.2973,  0.7641,  0.5397,  0.7377,  0.1938,
         0.5379,  0.5091,  0.8155,  0.8801], device='cuda:0')","tensor([[0.3063, 1.0000, 0.0223, 0.2841, 0.6660, 0.3190, 0.5211, 0.2173, 0.2778,
         0.6913, 0.7905, 0.8955]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2346,  1.0000, -0.2639,  0.2113,  0.5774,  0.3093,  0.8099,  0.1207,
         0.6880,  0.8291,  0.9337,  0.9517], device='cuda:0')","tensor([[ 0.3758,  0.0381, -0.2098,  0.4914,  0.7255,  0.3392,  0.5376,  0.0694,
          0.4830,  0.6745,  0.8156,  0.8949]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2102,  1.0000, -0.1352,  0.2346,  0.5491,  0.6054,  0.5942,  0.1865,
         0.5342,  0.5481,  0.7264,  0.8842], device='cuda:0')","tensor([[0.4017, 1.0000, 0.1062, 0.5126, 0.7558, 0.2918, 0.6110, 0.0634, 0.5213,
         0.6743, 0.8076, 0.8963]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
